,Course,Thing,Explanation,Date,Important,Index
15,CS1231S,Laws Of Logic,"Types
?> De_Morgan
?> Implication_Law
?> Conditional_Statement
?> Contrapositive_Statement
?> Converse_Statement
?> Inverse_Statement
?> Universal_Conditional_Statement
?> There_Exists_Only_One",13/08/2021,,14.0
16,CS1231S,De Morgan,"Definition
><MA ~(p ∧ q) = ~p ∨ ~q MA>",15/08/2021,,15.0
17,CS1231S,Implication Law,"Definition
><MA P → Q = ~P ∨ Q MA>",15/08/2021,,16.0
18,CS1231S,Conditional Statement,"Definition
><MA P → Q MA>",15/08/2021,,17.0
19,CS1231S,Contrapositive Statement,"Definition
><MA ~Q → ~P MA>",15/08/2021,,18.0
20,CS1231S,Converse Statement,"Definition
><MA Q → P MA>",15/08/2021,,19.0
21,CS1231S,Inverse Statement,"Definition
><MA ~P → ~Q MA>",15/08/2021,,20.0
22,CS1231S,Commutative Law,"Definition
><MA A⋀B = B⋀A MA>
><MA A⋁B = B⋁A MA>",15/08/2021,,21.0
23,CS1231S,Associative Law,"Definition
><MA A⋀(B⋀C) = (A⋀B)⋀C MA>
><MA A⋁(B⋁C) = (A⋁B)⋁C MA>",15/08/2021,,22.0
24,CS1231S,Distributive Law,"Definition
><MA A⋀(B⋁C) = (A⋀B)⋁(A⋀C) MA>",15/08/2021,,23.0
25,CS1231S,Closure Law,"Definition
><MA A∈ℤ ⟺ ƒ(A)∈ℤ MA>

Examples
> ℤ are closed under addition/multiplication",15/08/2021,,24.0
26,CS1231S,Identity Law,"Definition
><MA p⋀true MA>
><MA p⋁false MA>",15/08/2021,,25.0
27,CS1231S,Negation Law,"Definition
><MA p⋀true MA>
><MA p⋁false MA>",15/08/2021,,26.0
28,CS1231S,Idempotent Law,"Definition
><MA p⋀p MA>
><MA p⋁p MA>",15/08/2021,,27.0
29,CS1231S,Universal Bound Law,"Definition
><MA p⋀false MA>
><MA p⋁true MA>",15/08/2021,,28.0
30,CS1231S,Absorption Law,"Definition
><MA p⋁(p⋀q) = p⋀(p⋁q) = p MA>",15/08/2021,,29.0
31,MA2001,MA2001,"Topics
?> Gauss_Jordan_Elimination
?> Matrices
?> Rank
?> Determinant
?> Orthogonal
?> Diagonalisation
?> Linear_Space
?> Linear_Transformation",17/08/2021,,30.0
32,MA2001,RREF,"Definition
> Row Reduced Echelon Form
> First non-zero element in each row is 1",17/08/2021,,31.0
33,MA2001,Homogeneous Equation,"Definition
> Constant terms are all 0",17/08/2021,,32.0
34,MA2001,Matrices,"Types
?> Square_Matrix
?> Diagonal_Matrix
?> Identity_Matrix
?> Scalar_Matrix
?> Symmetric_Matrix
?> Skew_Symmetric_Matrix
?> Order_N_Matrix
?> Triangular_Matrix
?> Cofactor_Matrix
?> Adjoint_Matrix
?> Transition_Matrix
?> Augmented_Matrix
?> Transpose_Matrix
?> Invertible_Matrix
?> Orthogonal_Matrix
?> Diagonalisable_Matrix
?> Adjacency_Matrix

Topics
?> Matrix_Multiplication",17/08/2021,,33.0
35,MA2001,Gauss Jordan Elimination,"Usage
> Used to make /RREF

Process
> Carry out row-operations to make the first non-zero element in each row equal to 1

Topics
?> RREF
?> Homogeneous_Equation
?> Augmented_Matrix
?> Elementary_Column_Operation
?> Elementary_Row_Operation",17/08/2021,,34.0
36,MA2001,Square Matrix,"Definition
> Height = Width",17/08/2021,,35.0
37,MA2001,Diagonal Matrix,"Definition
> /Square_Matrix where Aᵢⱼ=0 when i≠j

Determinant
> Equal to product of entries

Types
?> Identity_Matrix
?> Scalar_Matrix",17/08/2021,,36.0
38,MA2001,Identity Matrix,"Definition
> /Diagonal_Matrix with all diagonal entries equal to 1",17/08/2021,,37.0
39,MA2001,Scalar Matrix,"Definition
> /Diagonal_Matrix, with all diagonal same
> Scalar multiple of the /Identity_Matrix",17/08/2021,,38.0
40,MA2001,Order N Matrix,"Definition
> /Square_Matrix of size NxN",17/08/2021,,39.0
41,MA2001,Symmetric Matrix,"Definition
> Top right triangle = bottom left triangle
><MA A = Aᵀ MA>

Types
?> Diagonalisable_Matrix",17/08/2021,,40.0
42,MA2001,Triangular Matrix,"Definition
> Data only exists in top right or bottom left triangles

Properties
> Determinant :- product of diagonal entries
> Eigenvalue :- product of diagonal entries",17/08/2021,,41.0
43,MA2001,Transpose Matrix,"Definition
><MA Aᵀ MA>

Properties
> Determinant :- det(A) = det(Aᵀ)",18/08/2021,,42.0
44,CS1101S,Programming Model,"Types
?> Substitution_Model
?> Environment_Model",18/08/2021,,
45,CS1101S,Substitution Model,"Definition
> Substitutes all variables within code with set parameters",18/08/2021,,43.0
46,CS1101S,Normal Order Reduction,"Definition
> Functions are evaluated left to right, so parameters are evaluated after the function has expanded

Usage
> Most programming languages",18/08/2021,,44.0
47,CS1101S,Java Source,"Methods
?> Java_Single_Line_Conditional
?> Java_Multiline_Lambda_Function",18/08/2021,,
48,CS1101S,Java Single Line Conditional,"Code
><MA Predicate ? Conditional : Else MA>

Definition
> Predicate is the if, conditional is the then",18/08/2021,,45.0
49,CS1101S,Application Order Reduction,"Definition
> Functions are evaluated from within, so parameters are evaluated first

Usage
> Fewer languages",18/08/2021,,46.0
50,CS1101S,Source Stack Runes Proportions,"Code <JV
stack_frac(dec, toprune, bottomrune)
JV>

Usage
> Stacks runes based on proportions",18/08/2021,,47.0
51,CS1101S,Recursion,"Definition
> Function that calls itself

Topics
?> Boundary_Vs_Recursive
?> Deferred_Operation",18/08/2021,,48.0
52,CS1101S,Boundary Vs Recursive,"Definition
> Boundary is what happens at the end/edge case",18/08/2021,,49.0
53,CS1101S,Deferred Operation,"Definition
> Operation that moves on to the next recursion
> Expands all the way then contracts all the way",18/08/2021,,50.0
54,MA1521,MA1521,"Topics
?> Limits
?> Functions
?> Integration
?> Convergence
?> Multivariable_Calculus",18/08/2021,,51.0
55,MA1521,Limits,"Topics
?> Precise_Definition_Of_Limit
?> Limit_Laws

Types
?> Composite_Limit",18/08/2021,,52.0
56,MA1521,Functions,"Types
?> Continuous_Function
?> Inverse_Function

Topics
?> Extreme_Value_Theorem
?> First_Derivative_Theorem
?> Rolle_s_Theorem
?> Mean_Value_Theorem
?> Cauchy_Mean_Value_Theorem
?> Mean_Value_Theorem__Definite_Integrals_",18/08/2021,,53.0
57,MA1521,Precise Definition Of Limit,"Definition
><MA ∀ε>0, ∃𝛿ε>0 st |f(x)-L|<ε whenever 0<|x-a|<𝛿ε MA>",18/08/2021,Important,54.0
58,MA1521,Composite Limit,"Definition
><MA lim[x→a]ƒ(𝒈(x)) = ƒ(lim[x→a]𝒈(x)) MA>",18/08/2021,,55.0
59,MA1521,Continuous Function,"Definition
> A function is continuous on an interval if it is continuous at every number in the interval
><MA C⁰[x] MA>

Proof
> Continuous: lim[h→0]ƒ(x+h) = ƒ(x)
> Differentiation: lim[h→0](ƒ(x+h)-ƒ(x))/h",18/08/2021,,56.0
60,MA1521,Limit Laws,"Definition
> Limits are preserved under addition, multiplication, division, exponentiation",18/08/2021,,57.0
61,CS1231S,Methods Of Affirming,"Types
?> Vacuously_True_Method
?> Modus_Ponens_Method
?> Modus_Tollens_Method
?> Generalisation_Method
?> Specialisation_Method
?> Elimination_Method
?> Conjunction_Method
?> Transitivity_Method
?> Critical_Row_Method
?> Contradiction_Method
?> Universal_Modus_Ponens
?> Universal_Instantiation
?> Universal_Generalisation",19/08/2021,,59.0
62,CS1231S,Vacuously True Method,"Definition
> p → r is by default true, unless p=true and r=false",19/08/2021,,60.0
63,CS1231S,Modus Ponens Method,"Definition
><MA p → q ⟹ p → q MA>",19/08/2021,,61.0
64,CS1231S,Modus Tollens Method,"Definition
><MA p → q ⟹ ~q → ~p MA>",19/08/2021,,62.0
65,CS1231S,Generalisation Method,"Definition
><MA p ⟹ p⋁q  MA>",19/08/2021,,63.0
66,CS1231S,Specialisation Method,"Definition
><MA p⋀q ⟹ p MA>",19/08/2021,,64.0
67,CS1231S,Elimination Method,"Definition
><MA p⋁q ⟹ ~q → p MA>",19/08/2021,,65.0
68,CS1231S,Conjunction Method,"Definition
><MA p⋀q ⟹ p⋀q MA>",19/08/2021,,66.0
69,CS1231S,Transitivity Method,"Definition
><MA (p→r)⋀(q→r) → (p→r) MA>",19/08/2021,,67.0
70,CS1231S,Critical Row Method,"Definition
> In a truth table, critical rows have all T for the premises (or those involved in the hypothesis)",19/08/2021,,68.0
71,CS1231S,Contradiction Method,"Definition
><MA (~p→false)→p MA>

Proof
::Prove a statement is false
> Find a case where predicate is true, but outcome is false",19/08/2021,,69.0
72,CS1231S,Syllogism,"Definition
> An argument form consisting of two premises and a conclusion",19/08/2021,,70.0
73,CS1101S,Orders Of Growth,"Types
?> Big_Θ_Notation
?> Big_O_Notation
?> Big_Ω_Notation
?> Recurrence_Solution
?> Orders_Of_Magnitude",20/08/2021,,71.0
74,CS1101S,Big Θ Notation,"Definition
> Upper and lower bound
> The resource function r has order of growth Θ(𝒈(n)) if there are positive constants k₁ k₂ and a number n0 such that k₁𝒈(n) ≤ r(n) ≤ k₂𝒈(n) for all n > n₀",20/08/2021,Important,72.0
75,CS1101S,Big O Notation,"Definition
> Upper Bound
> The resource function r has order of growth O(𝒈(n)) if there is a positive constant k and a number n₀ such that r(n) ≤ k𝒈(n) for all n > n₀",20/08/2021,Important,73.0
76,CS1101S,Big Ω Notation,"Definition
> Lower Bound
> The resource function r has order of growth O(𝒈(n)) if there is a positive constant k and a number n₀ such that r(n) ≥ k𝒈(n) for all n > n₀",20/08/2021,,74.0
77,CS1101S,Source Anaglyph,"Code <JV
anaglyph()
JV>

Usage
> Show 3d runes",20/08/2021,,75.0
78,CS1101S,Source Hollusion,"Code <JV
hollusion()
JV>

Usage
> Show 3d runes",20/08/2021,,76.0
79,CS1101S,Source Overlay Runes,"Code <JV
overlay(dark, light)
JV>

Usage
> Overlays 2 runes on top of each other",20/08/2021,,77.0
80,CS1101S,Source Overlay Runes Proportion,"Code <JV
overlay_frac(topheight, dark, light)
JV>

Usage
> The topheight controls how much space between the top 2 layers",20/08/2021,,78.0
81,CS1101S,Source Scale Rune,"Code <JV
scale(factor, rune)
JV>

Usage
> Scales x and y",20/08/2021,,79.0
82,CS1101S,Source Scale Rune Independent,"Code <JV
scale_independent(x, y, rune)
JV>

Usage
> Scales x and y independently",20/08/2021,,80.0
83,CS1101S,Source Translate Rune,"Code <JV
translate(x, y, rune)
JV>

Usage
> Translates x and y",20/08/2021,,81.0
84,CS1231S,Universal Conditional Statement,"Definition
><MA ∀x P(x)→Q(x) MA>",20/08/2021,,82.0
85,CS1231S,There Exists Only One,"Definition
><MA ∃! MA>
> There is only one unique",20/08/2021,,83.0
86,GESS1019,GESS1019,"Topics
?> Urban_Planning_History
?> Singapore_Urban_Planning_History
?> Scope_Of_Involvements
?> Singapore_Economic_Transformations
?> Singapore_Urbanisation_Goals
?> Transport_Planning
?> Development_Control",23/08/2021,,
87,GESS1019,Urban Planning History,"Topics
?> Sir_Ebenezer_Howard
?> UK_New_Towns_Movement
?> Le_Corbusier
?> Jane_Jacobs
?> Frank_Lloyd_Wright",23/08/2021,,84.0
88,GESS1019,Singapore Urban Planning History,"Topics
?> Concept_Plan
?> Master_Plan
?> Raffles_Town_Plan
?> Singapore_Improvement_Trust
?> Singapore_Housing_Committee_Report
?> URA__1989_
?> Concept_Plan_Vs_Master_Plan
?> Singapore_Urbanisation_Goals",23/08/2021,,85.0
89,GESS1019,Sir Ebenezer Howard,"Features
> Source of many urban planning ideas in 20th century
> Introduced green cities, town-country concepts with benefits of both and drawbacks of neither
?> Garden_City_Model",23/08/2021,,86.0
90,GESS1019,Garden City Model,"Features
?> Town_Magnet
?> Country_Magnet
?> Town_Country_Magnet
> Urban decentralisation
> Integration of nature into cities
> Development of new town communities",23/08/2021,,87.0
91,GESS1019,Town Magnet,"Benefits
+ Employment
+ Facilities

Disadvantages
- High rent
- Urban life",23/08/2021,,88.0
92,GESS1019,Country Magnet,"Benefits
+ Resources
+ Natural life

Disadvantages
- Lack of facilities
- Susceptible to weather",23/08/2021,,89.0
93,GESS1019,Town Country Magnet,"Features
> Established to combine the advantages of both
> Town centre is a circular town garden 
> Farms are on the outskirts of town

Examples
> Letchworth
> Welwyn",23/08/2021,,90.0
94,GESS1019,UK New Towns Movement,"Features
> 1946-1980

Examples
?> 1st_Generation_New_Towns
?> 2nd_Generation_New_Towns
?> 3rd_Generation_New_Towns",23/08/2021,,91.0
95,GESS1019,1st Generation New Towns,"Features
> 1900
> Follow /Sir_Ebenezer_Howard's model
> Low density
> Town centres accomodate economic and social needs
> Range of housing types

Examples
> Stevenage",23/08/2021,,92.0
96,GESS1019,2nd Generation New Towns,"Features
> Added transportation facilities
> Less emphasis on social balance
> Neighbourhood centres satisfy economic needs

Examples
> Cumbernauld",23/08/2021,,93.0
97,GESS1019,3rd Generation New Towns,"Features
> Breaks hierarchal residence
> More sense of interest community
> Everything is mixed-use
> Interest-based community is created",23/08/2021,,94.0
98,GESS1019,Le Corbusier,"Features
> Creator of Contemporary City
?> Radiant_City_Model",23/08/2021,,95.0
99,GESS1019,Radiant City Model,"Features
> 1935
> High-density vertical
> Open spaces are parks
> Rigid geometric pattern
> Separate land use districts
> Buildings on stilts 5m above ground to allow nature flow below
> Different speeds of cars belong in different layers
> Stacked highways and rail

Examples
> Vertical separation of transport
> Singapore's New Towns & CBD",23/08/2021,,96.0
100,GESS1019,Jane Jacobs,"Features
> Remove slums and mingle the poor with the middle-incomes
> Community should have full control over living space",23/08/2021,,97.0
101,GESS1019,Frank Lloyd Wright,"Features
?> Broadacre_City_Model",23/08/2021,,98.0
102,GESS1019,Broadacre City Model,"Features
> 1935
> Decentralised
> Large grid of arterials in the countryside
> Superhighways to connect the region",23/08/2021,,99.0
103,MA2001,Elementary Column Operation,"Usage
> Postmultiply the matrix with an /Elementary_Matrix",24/08/2021,,100.0
104,MA2001,Cofactor Matrix,"Definition
> The 2x2 matrices that are used when calculating determinant of 3x3 matrices",24/08/2021,,101.0
105,CS1101S,Source Lambda Function,"Definition
> Λ functions take the next number as argument

Examples
> (y => 10+y)(6)",25/08/2021,Important,102.0
106,CS1231S,Universal Modus Ponens,"Definition
> p→q for all ⟹ p→q for any",26/08/2021,,103.0
107,CS1231S,Universal Instantiation,"Definition
> For all x ⟹ any x",26/08/2021,,104.0
108,CS1231S,Universal Generalisation,"Definition
> If true for arbitrary, then true for all",26/08/2021,,105.0
109,CS1101S,Source Curves,"Topics
?> Source_Make_Point
?> Source_Point_Coordinates
?> Source_Draw_N_Connected_Points
?> Source_Draw_N_Connected_Points_View
?> Source_Translate Point
?> Source_Rotate_Point",27/08/2021,,106.0
110,CS1101S,Source Make Point,"Code <JV
make_point(x, y)
JV>

Usage
> Creates point (x, y)",27/08/2021,,107.0
111,CS1101S,Source Point Coordinates,"Code <JV
x_of, y_of
JV>

Usage
> Finds coordinates of point",27/08/2021,,108.0
112,CS1101S,Source Draw N Connected Points,"Code <JV
draw_connected(n)()
JV>

Usage
> Can accept function that has one parameter
> draw_connected(n)(unit_circle), where unit_circle(t) is a function
> values will go from 0 to 1",27/08/2021,,109.0
113,CS1101S,Source Draw N Connected Points View,"Code <JV
draw_connected_full_view_proportional(n)()
JV>

Usage
> The view window will move out or in",27/08/2021,,110.0
114,CS1101S,Java Multiline Lambda Function,"Code
><MA t => {} MA>

Usage
> You can put multiple statements within the {}",27/08/2021,,111.0
115,CS1101S,Source Translate Point,"Code <JV
translate(x, y, z)
JV>

Usage
> Translates a point",27/08/2021,,112.0
116,CS1101S,Source Rotate Point,"Code <JV
rotate_around_origin(x, y, z)
JV>

Usage
> Rotates a point about origin",27/08/2021,,113.0
117,CS1101S,Source Color Point,"Code <JV
make_3D_color_point(x,y,z,r,g,b)
JV>

Usage
> Makes colored point",27/08/2021,,114.0
118,MA1521,Extreme Value Theorem,"Definition
> If f continuous in interval, then it contains an absolute max and min value
> There are numbers in the interval and the function is between the max and min for every other in the interval",27/08/2021,Important,115.0
119,MA1521,First Derivative Theorem,"Definition
> ƒ'(x) = 0 at the max or min value",27/08/2021,,116.0
120,GESS1019,Raffles Town Plan,"Features
> 1828
> Singapore River was used to divide land use and ethnic zones
> Shophouse cities with 5-foot ways
> Focussed on harmony, efficiency, sanitation
> Grid layout for roads
> Green spaces",30/08/2021,,117.0
121,GESS1019,Singapore Improvement Trust,"Features
> 1927 formed to improve urban environment
> WWII severe overcrowding
> Focus on inner city housing and street layout
> Regulate type and intensity of developments
> Reserved spaces for facilities
> Spreading people out to outer areas

Disadvantages
- WWII severe overcrowding
- Cannot keep up with rapid change",30/08/2021,,118.0
122,GESS1019,Singapore Housing Committee Report,"Features
> 1948 Reported that less than 1/3 of the city were satisfied
> SIT housing supply insufficient and unable to clear slums
> Recommended the creation of government housing & planning department
> Form a master plan",30/08/2021,,119.0
123,GESS1019,Concept Plan Vs Master Plan,"Types
?> Master_Plan
?> Concept_Plan",30/08/2021,,
124,GESS1019,Master Plan,"Features
> Reviewed every 5 years
> Used to guide the land sale program to private developers and statutory plan for each land parcel
> Translates broad long-term plans into more detailed plans
> Manages facilities
> Special and Detailed Control Plans (SDCP) for public spaces, monuments, housing and underground
> Guidelines and controls for specific areas for development
> URA uses the guidelines to control development applications and proposals

Process
> Survey, data collection & analysis (population, traffic)
> Vision casting & proposals (develop what exactly)

Years
?> Master_Plan__1958_
?> KAK_Plan__1963_
?> Master_Plan__1999_
?> Master_Plan__2003_
?> Master_Plan__2014_
?> Master_Plan__2019_",30/08/2021,,120.0
125,GESS1019,Concept Plan,"Features
> Reviewed every 10 years
> Residential zones

Phases
?> Concept_Plan_Phase_1
?> Concept_Plan_Phase_2
?> Concept_Plan_Phase_3

Years
?> Ring_Concept_Plan__1971_
?> Concept_Plan__1991_
?> Concept_Plan__2001_
?> Concept_Plan__2011_",30/08/2021,,121.0
126,GESS1019,Master Plan (1958),"Features
> Add a green belt around the city to prevent sprawling
> Develop Orchard Road
> Jurong, Woodlands, Yio Chu Kang
> Open space targets from 0.34 to 1.1ha per 1000 persons
> Was too conservative to meet needs so advice was sought from the UN
> Planning Department of PMO in charge of land use control, and HDB for housing",30/08/2021,,122.0
127,GESS1019,KAK Plan (1963),"Features
> Otto Koenigberger (architect-planner)
> Charles Abram (lands and legal advisor)
> Susumu Kobe (traffic economist)
> Came to Singapore to propose the KAK mission report
> ""Action planning"" for urban development, industrialisation
> Performance standards for flexible development control
> ""Ring City"" concept of compact towns around central open area
> Everyone lives near the sea
> Ring city of towns
> 11 employment centres",30/08/2021,,123.0
128,GESS1019,Ring Concept Plan (1971),"Features
> State and City Planning (SCP) project
> Ad hoc organisation of HDB, Public Works Department
> Long-range land use and transportation, and how to implement, review and update
> Used a work-trip model
> Southern belt development
> Green spaces between towns
> Set aside Jurong for industrial and Changi for airport

Examples
?> North_South_Line",30/08/2021,,124.0
129,GESS1019,Concept Plan (1991),"Features
> Decentralisation to new regional centres
> Choices of housing
> Paid attention to quality of life issues
> Development of Marina Bay, technology corridors, environment
> 5 planning regions
> Tropical City of Excellence
> Balance of work, commerce
> Recreational options

Examples
?> Circle_Line",30/08/2021,,125.0
130,GESS1019,URA (1989),"Features
> Became the main governing body for urban development",30/08/2021,,126.0
131,CS1101S,Programming Expression,"Types
?> Expression_Statement
?> Block_Statement
?> Value_Expression
?> Operator_Combination
?> Conditional_Expression
?> Function_Application
?> Normal_Order_Reduction
?> Application_Order_Reduction",30/08/2021,,127.0
132,CS1101S,Expression Statement,"Definition
> Arithmetic expression",30/08/2021,,128.0
133,CS1101S,Block Statement,"Definition
> Can be inside a function block",30/08/2021,,129.0
134,CS1101S,Value Expression,"Definition
> Just take the value",30/08/2021,,130.0
135,CS1101S,Operator Combination,"Definition
> Apply operation",30/08/2021,,131.0
136,CS1101S,Conditional Expression,"Definition
> Reduce predicate, and goes to if or else",30/08/2021,,132.0
137,CS1101S,Function Application,"Definition
> Reduce components, if function is λ expression, take body of λ expression and replace parameters by argument expressions in scope of parameters",30/08/2021,,133.0
138,MA2001,Elementary Row Operation,"Usage
> Premultiply the matrix with an /Elementary_Matrix

Properties
> Multiply rows :- det(A) = kdet(B)
> Swap rows :- det(A) = -det(B)",31/08/2021,,134.0
139,MA2001,Determinant,"Properties
> Inverse :- det(A⁻¹) = 1/det(A)
> Scalar multiple :- det(cA) = cⁿdet(A)
> Cramer's rule :- x = det(A₁)/det(A), y = det(A₂)/det(A), z = det(A₃)/det(A)
> Cofactor :- Determinant can be expresed as value with cofactor
> Determinant of matrix with identical rows or columns is zero",31/08/2021,,135.0
140,MA2001,Adjoint Matrix,"Definition
> The adjoint of A is the matrix made up of cofactors of the elements, so it's full of matrices inside
><MA adj(A) MA>

Properties
><MA Aadj(A) = det(A)I MA>
><MA A⁻¹ = adj(A)/det(A); MA>",31/08/2021,,136.0
141,MA2001,Linear Space,"Properties
><MA General notation :- {(u₁,u₂,u₃,u4)|conditions} MA>
><MA Explicit notation :- {(t,t,t)|t in R} MA>
><MA Implicit notation :- {(x,y,z)|x+y+z=0} MA>
><MA Span explicit notation :- {s(1,2,3)+t(3,4,5)|s,t is elem of R} MA>
><MA Span implicit notation :- span{(1,2,3), (3,4,5)} MA>
> u, v and w in ℝ³ are linearly independent iff span{u, v, w} = ℝ³
> In ℝ³, three vectors u, v and w are linearly dependent iff they lie on the same line or same plane

Topics
?> Linear_Combination
?> Linear_Independence
?> Dimension
?> Linear_Span

Types
?> Zero_Space
?> Subspace
?> Row_Space
?> Column_Space",31/08/2021,,137.0
142,CS1101S,Source Base Functions,"Methods
?> Source_Head
?> Source_Pair
?> Source_List
?> Source_Null
?> Source_List_Ref
?> Source_Map
?> Source_Accumulate
?> Source_Filter",01/09/2021,,
143,CS1101S,Source Advanced Functions,"Methods
?> Source_Head_Tail
?> Source_Repeat
?> Source_Box_And_PointerBox
?> Source_Length_Of_List
?> Source_Append_Iterative
?> Source_Accumulate_Tree
?> Source_Permutation
?> Source_Enum_Stream
?> Source_Merge_B
?> Source_Zipper
?> Source_Similar
?> Source_Mutable_Reverse
?> Source_Permutations",,,
144,CS1101S,Source Stream Functions,"Methods
?> Source_Stream
?> Source_Add_Streams
?> Source_Fibonacci_Stream
?> Source_Integer_Stream
?> Source_Stream_Map
?> Source_Stream_Filter",,,
145,CS1101S,Source Sorting Algorithms,"Methods
?> Source_Insertion_Sort
?> Source_Selection_Sort
?> Source_Merge_Sort",,,
146,CS1101S,Source Head,"Code <JV
head(list)
JV>

Usage
> Gets you the first value of the pair",01/09/2021,,138.0
147,CS1101S,Source Head Tail,"Code <JV
head(tail(list))
JV>

Usage
> Gets you the second value of the list",01/09/2021,,139.0
148,CS1101S,Source Repeat,"Code <JV
const repeat = n => f => x => n === 0 
                              ? x 
                              : repeat(n - 1)(f)(f(x));
JV>

Usage
> Repeating function accessible using repeat(3)",01/09/2021,Important,140.0
149,CS1101S,Source Pair,"Code<JV
pair(x, y)
[x, y]
JV>

Usage
> Returns pair made of x and y",01/09/2021,,141.0
150,CS1101S,Source List,"Definition
> The tail is either a pair or a null
> If the innermost pair's tail is a null, then the whole thing becomes a list (tower of pairs)

Code <JV
list(x1, x2, x3,...)
is_list()
JV>

Usage
> Returns list [x1,[x2,[x3...,null]]]",01/09/2021,,142.0
151,CS1101S,Source Null,"Code <JV
is_null()
JV>

Usage
> Checks if null",01/09/2021,,143.0
152,CS1101S,Source Box And PointerBox,"Code <JV
draw_data(pair(1, pair(2, pair(3, null))))
JV>

Usage
> Creates a box-and-pointer diagram, with linked list",01/09/2021,Important,144.0
153,CS1101S,Source Length Of List,"Code <JV
len(xs) = is_null(xs) ? 0 : 1 + length(tail(xs))
JV>

Usage
> Length of list is length of tail + 1, all the way until null at the end",01/09/2021,,145.0
154,MA1521,Rolle's Theorem,"Definition
> If ƒ continuous and differentiable and ƒ(a) = ƒ(b), then ∃c such that ƒ⁻¹(c) = 0",01/09/2021,Important,146.0
155,MA1521,Mean Value Theorem,"Definition
> If ƒ continuous and differentiable, then ∃c ƒ⁻¹(c) = (ƒ(b)-ƒ(a))/(b-a)",01/09/2021,Important,147.0
156,MA1521,Cauchy Mean Value Theorem,"Definition
> If ƒ and 𝒈 continuous and differentiable, then ∃c ƒ⁻¹(c)/𝒈(c) = (ƒ(b)-ƒ(a))/(𝒈(b)-𝒈(a))",01/09/2021,,148.0
157,CS1101S,Source List Ref,"Code <JV
list_ref(list, n)
JV>

Usage
> Returns nth value of list",02/09/2021,,149.0
158,CS1231S,Sets,"Properties
> Cardinality :- number of distinct elements in set

Types
?> Power_Set
?> Subset
?> Set_Complement
?> Singleton__Sets_
?> Cartesian_Product__Sets_

Topics
?> Set_Notation
?> Set_Laws
?> Definition_Of_Set_Equality",02/09/2021,,150.0
159,CS1231S,Set Complement,"Definition
><MA B⁻ MA>",02/09/2021,,151.0
160,CS1231S,Set Notation,"Types
?> Roster_Notation
?> Set_Builder_Notation",02/09/2021,,152.0
161,MA1521,Integration,"Topics
?> Riemann_Sum
?> Riemann_Integral
?> Trigo_Identities
?> Volume_Of_Revolution__Disc_
?> Volume_Of_Revolution__Shell_
?> Arc_Length
?> Surface_Area_Of_Revolution",03/09/2021,,153.0
